WordIndex,OriginalCode,RollupCode
689,158.0,PheCode:159.4
690,238.75,PheCode:200
691,712.10,PheCode:274
691,712.10,PheCode:274.2
691,712.10,PheCode:274.21
692,379.39,PheCode:379
692,379.39,PheCode:379.3
693,718.40,PheCode:739
696,802.8,PheCode:819
697,V54.01,PheCode:809
698,804.56,PheCode:819
699,281.3,PheCode:281
699,281.3,PheCode:281.1
700,574.41,PheCode:574
700,574.41,PheCode:574.2
701,651.93,PheCode:651
702,851.11,PheCode:816
704,200.35,PheCode:202
704,200.35,PheCode:202.2
705,012.04,PheCode:010
706,835.11,PheCode:830
707,753.8,PheCode:751
707,753.8,PheCode:751.2
710,E944.2,PheCode:974
711,752.7,PheCode:751
711,752.7,PheCode:751.1
712,942.29,PheCode:1000
713,550.01,PheCode:550
713,550.01,PheCode:550.1
714,952.4,PheCode:952
715,802.21,PheCode:819
716,V85.0,PheCode:260
718,058.89,PheCode:054
719,018.06,PheCode:010
720,362.01,PheCode:250
720,362.01,PheCode:250.7
721,200.61,PheCode:202
721,200.61,PheCode:202.2
721,200.61,PheCode:202.24
722,774.5,PheCode:656
722,774.5,PheCode:656.8
723,954.1,PheCode:907
724,627.1,PheCode:627
724,627.1,PheCode:627.1
725,800.93,PheCode:819
727,344.40,PheCode:344
728,310.9,PheCode:291
728,310.9,PheCode:291.4
729,744.47,PheCode:749
730,013.54,PheCode:010
732,998.33,PheCode:1011
733,735.1,PheCode:735
733,735.1,PheCode:735.2
734,141.4,PheCode:145
734,141.4,PheCode:145.2
735,528.4,PheCode:528
735,528.4,PheCode:528.4
736,521.31,PheCode:521
736,521.31,PheCode:521.2
737,287.3,PheCode:287
737,287.3,PheCode:287.3
737,287.3,PheCode:287.31
738,996.41,PheCode:858
739,120.8,PheCode:134
740,391.8,PheCode:394
740,391.8,PheCode:394.4
741,755.9,PheCode:755
742,194.0,PheCode:194
746,730.78,PheCode:710
746,730.78,PheCode:710.3
747,361.10,PheCode:361
747,361.10,PheCode:361.2
748,364.54,PheCode:379
748,364.54,PheCode:379.5
749,666.02,PheCode:635
749,666.02,PheCode:635.3
750,764.91,PheCode:637
751,036.89,PheCode:041
753,597.80,PheCode:592
753,597.80,PheCode:592.2
